name,portrait_url,game,gender,weapon,starting_class,movement_type,hair_color,is_active,promotion_tier
Marth,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/marth.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Lord,Infantry,Blue,TRUE,Unique
Abel,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/abel.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Green,TRUE,Unpromoted
Frey,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/frey.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Blue,TRUE,Unpromoted
Jagen,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/jagen.png,Shadow Dragon,Male,Sword|Lance,Paladin,Cavalry,Gray,TRUE,Promoted
Cain (Shadow Dragon),https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/cain(shadow%20dragon).png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Red,TRUE,Unpromoted
Gordin,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/gordin.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Archer,Infantry,Green,TRUE,Unpromoted
Draug,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/draug.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Green,TRUE,Unpromoted
Norne,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/norne.png,Shadow Dragon|New Mystery of the Emblem,Female,Bow,Archer,Infantry,Red,TRUE,Unpromoted
Caeda,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/caeda.png,Shadow Dragon|New Mystery of the Emblem,Female,Lance,Pegasus Knight,Flying,Blue,TRUE,Unpromoted
Wrys,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/wrys.png,Shadow Dragon|New Mystery of the Emblem,Male,Staff,Curate,Infantry,Bald,TRUE,Unpromoted
Ogma,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/ogma.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Mercenary,Infantry,Yellow,TRUE,Unpromoted
Barst,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/barst.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Blue,TRUE,Unpromoted
Bord,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/bord.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Brown,TRUE,Unpromoted
Cord,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/cord.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Brown,TRUE,Unpromoted
Darros,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/darros.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Pirate,Infantry,Bald,TRUE,Unpromoted
Castor,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/castor.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Hunter,Infantry,Blue,TRUE,Unpromoted
Julian,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/julian.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Thief,Infantry,Red,TRUE,Unpromoted
Lena,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/lena.png,Shadow Dragon|New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Red,TRUE,Unpromoted
Navarre,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/navarre.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Myrmidon,Infantry,Black,TRUE,Unpromoted
Merric,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/merric.png,Shadow Dragon|New Mystery of the Emblem,Male,Tome,Mage,Infantry,Green,TRUE,Unpromoted
Matthis,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/matthis.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Pink,TRUE,Unpromoted
Wolf,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/wolf.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Bow,Horseman,Cavalry,Purple,TRUE,Promoted
Sedgar,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/sedgar.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Bow,Horseman,Cavalry,Green,TRUE,Promoted
Roshea,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/roshea.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Purple,TRUE,Unpromoted
Vyland,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/vyland.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Red,TRUE,Unpromoted
Hardin,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/hardin.png,Shadow Dragon,Male,Sword|Lance,Cavalier,Cavalry,Brown,TRUE,Unpromoted
Wendell,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/wendell.png,Shadow Dragon|New Mystery of the Emblem,Male,Tome|Staff,Sage,Infantry,White,TRUE,Promoted
Rickard,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/rickard.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Thief,Infantry,Blue,TRUE,Unpromoted
Athena,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/athena.png,Shadow Dragon|New Mystery of the Emblem,Female,Sword,Myrmidon,Infantry,Black,TRUE,Unpromoted
Bantu,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/bantu.png,Shadow Dragon|New Mystery of the Emblem,Male,Dragonstone,Manakete,Infantry,Bald,TRUE,Unique
Caesar,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/caesar.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Mercenary,Infantry,Yellow,TRUE,Unpromoted
Radd,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/radd.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Myrmidon,Infantry,Red,TRUE,Unpromoted
Roger,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/roger.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Pink,TRUE,Unpromoted
Jeorge,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/jeorge.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Sniper,Infantry,Yellow,TRUE,Promoted
Maria,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/maria.png,Shadow Dragon|New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Red,TRUE,Unpromoted
Minerva,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/minerva.png,Shadow Dragon|New Mystery of the Emblem,Female,Lance|Axe,Dracoknight,Flying,Red,TRUE,Promoted
Linde,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/linde.png,Shadow Dragon|New Mystery of the Emblem,Female,Tome,Mage,Infantry,Brown,TRUE,Unpromoted
Jake,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/jake.png,Shadow Dragon|New Mystery of the Emblem,Male,Ballista,Ballistician,Ballistician,Purple,TRUE,Unique
Dolph,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/dolph.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Bald,TRUE,Unpromoted
Macellan,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/macellan.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Bald,TRUE,Unpromoted
Tomas,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/tomas.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Archer,Infantry,Green,TRUE,Unpromoted
Boah,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/boah.png,Shadow Dragon,Male,Tome|Staff,Bishop,Infantry,White,TRUE,Promoted
Midia,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/midia.png,Shadow Dragon|New Mystery of the Emblem,Female,Sword|Lance,Paladin,Cavalry,Blue,TRUE,Promoted
Horace,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/horace.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance|Bow,General,Armored,Blue,TRUE,Promoted
Beck,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/beck.png,Shadow Dragon|New Mystery of the Emblem,Male,Ballista,Ballistician,Ballistician,Brown,TRUE,Unique
Astram,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/astram.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Axe,Hero,Infantry,Yellow,TRUE,Promoted
Catria,https://pub-e9fde94e368540cf8e529614fd1b2295.r2.dev/catria.png,Shadow Dragon|New Mystery of the Emblem|Echoes: Shadows of Valentia,Female,Lance,Pegasus Knight,Flying,Blue,TRUE,Unpromoted
